[1/100] ✅ OK (1.03s) | ID: c78043a4-95dc-4b26-90d8-fd791278a556 | Pred: lost_or_stolen_card
[24/100] ✅ OK (0.32s) | ID: 5e3fcb7a-469f-4a4a-ad88-7ed65d19b8ec | Pred: top_up_by_bank_transfer_charge
[25/100] ✅ OK (0.33s) | ID: 2d374804-7a4e-4db4-9f75-9d6e40310db6 | Pred: fiat_currency_support
[26/100] ✅ OK (0.30s) | ID: 0f617da4-a145-4ef0-abde-22f23ac54b89 | Pred: top_up_by_bank_transfer_charge
[27/100] ✅ OK (0.30s) | ID: fb7f3a44-95a7-4cc4-b652-8aeacf793727 | Pred: balance_not_updated_after_bank_transfer
[28/100] ✅ OK (0.31s) | ID: 1f481b8c-3e20-4c83-b817-46b02cc5f5e5 | Pred: lost_or_stolen_card
[29/100] ✅ OK (0.29s) | ID: 19b4e8b0-0f08-4bc7-90a0-f29e62040b49 | Pred: card_delivery_estimate
[30/100] ✅ OK (0.30s) | ID: a1a1b159-ee5a-4456-a08f-0d3216804f4e | Pred: lost_or_stolen_card
[31/100] ✅ OK (0.32s) | ID: 256b5cf2-4fbf-4076-b215-31a74862b8f7 | Pred: lost_or_stolen_card
[32/100] ✅ OK (0.28s) | ID: db061669-1cd2-4040-ad81-df5462493f43 | Pred: card_arrival
[33/100] ✅ OK (0.65s) | ID: bcf94399-2fdb-4eef-9d80-7d9c84da35d9 | Pred: card_arrival
[34/100] ✅ OK (0.29s) | ID: 8a72c67c-64d7-4d1f-9718-9e880fe5521f | Pred: card_acceptance
[35/100] ✅ OK (0.28s) | ID: eda0b958-385e-4534-83d9-f227894f3603 | Pred: card_arrival
[36/100] ✅ OK (0.29s) | ID: 29f0788b-c7d5-450d-bee8-ed8adddbf81d | Pred: country_support
[37/100] ✅ OK (0.29s) | ID: b3e9c0b2-51ad-48cf-b28c-857788a3f8d7 | Pred: visa_or_mastercard
[38/100] ✅ OK (0.35s) | ID: 3110ef99-ac60-4158-a3f5-706d7335e94b | Pred: card_not_working
[39/100] ✅ OK (0.29s) | ID: 3049ef2d-2820-4ced-88e0-24ffc7ab9f46 | Pred: lost_or_stolen_card
[40/100] ✅ OK (0.29s) | ID: d6acba7e-1f41-49b7-a81c-3e08c0c5d973 | Pred: declined_card_payment
[41/100] ✅ OK (0.33s) | ID: d9005ba6-e719-44a2-918c-fde843d9ad86 | Pred: card_not_working
[42/100] ✅ OK (0.30s) | ID: bef2a35b-830a-434a-b202-08242bd4c630 | Pred: card_not_working
[43/100] ✅ OK (0.30s) | ID: 0017b824-1d6c-43d1-ad53-0f9ee619c385 | Pred: lost_or_stolen_card
[44/100] ✅ OK (0.35s) | ID: 2724e818-c73f-4fae-be74-77279e302290 | Pred: declined_card_payment
[45/100] ✅ OK (0.33s) | ID: 2858e8be-5738-46d5-b40a-77ae89343af8 | Pred: lost_or_stolen_card
[46/100] ✅ OK (0.30s) | ID: 69c1efd6-1289-4173-b48c-00761e649d34 | Pred: lost_or_stolen_card
[47/100] ✅ OK (0.30s) | ID: 07cfadf2-785e-48f6-8dcf-c1b3f9f0fca7 | Pred: card_delivery_estimate
[48/100] ✅ OK (0.29s) | ID: 96c0d879-640b-43a1-b587-a26985dcdc76 | Pred: terminate_account
[49/100] ✅ OK (0.28s) | ID: 4017fdd4-39da-46ee-80c7-baebbe35d881 | Pred: fiat_currency_support
[50/100] ✅ OK (0.32s) | ID: 47933624-9d00-47ce-8f37-562b74e71a7b | Pred: terminate_account
[51/100] ✅ OK (0.33s) | ID: 6e822c79-b582-4d51-9e58-c384a5b2fc9c | Pred: card_not_working
[52/100] ✅ OK (0.30s) | ID: 4f8a0fee-ab71-422a-a64e-38255502cbfa | Pred: lost_or_stolen_card
[53/100] ✅ OK (0.28s) | ID: b7722125-5f99-4fff-b200-f0e1a59226d6 | Pred: card_delivery_estimate
[54/100] ✅ OK (0.29s) | ID: 5b1b862a-1bba-480f-ae4b-272f5f6a693f | Pred: card_arrival
[55/100] ✅ OK (0.29s) | ID: 80033113-6ffb-4c39-a0a5-a478e7b0e054 | Pred: lost_or_stolen_card
[56/100] ✅ OK (0.29s) | ID: f5db0469-fe4d-40af-ac32-18820955ce27 | Pred: lost_or_stolen_card
[57/100] ✅ OK (0.38s) | ID: 637881bc-6a03-4240-89d5-8f99d0a0d72d | Pred: card_acceptance
[58/100] ✅ OK (0.30s) | ID: ef73acf8-7620-48e2-9aa2-d963dc910ff8 | Pred: terminate_account
[59/100] ✅ OK (0.29s) | ID: ed3f03e9-465f-4c68-a5f2-7b744c36c8e5 | Pred: balance_not_updated_after_bank_transfer
[60/100] ✅ OK (0.30s) | ID: a962b026-3335-405b-a740-723ddbc429a3 | Pred: lost_or_stolen_card
[61/100] ✅ OK (0.32s) | ID: e1b25e91-215e-4d38-a964-7c1268d97ff4 | Pred: cancel_transfer
[62/100] ✅ OK (0.30s) | ID: a8d33f70-345f-40a9-9ca4-44412ab5fc5b | Pred: cancel_transfer
[63/100] ✅ OK (0.31s) | ID: b70efccd-890a-4d4c-b45c-8c23609e0a48 | Pred: cancel_transfer
[64/100] ✅ OK (0.31s) | ID: 88a69acb-4193-4cb6-aa6e-cb7b3ef6ccc3 | Pred: card_arrival
[65/100] ✅ OK (0.30s) | ID: 33f1e591-0e25-4eb5-a65b-6d25d711b237 | Pred: balance_not_updated_after_bank_transfer
        [66/100] ✅ OK (0.31s) | ID: e2599dcd-8e80-4a8d-bd0b-d81a24118d25 | Pred: terminate_account
[67/100] ✅ OK (0.32s) | ID: c5d69ccd-cb22-4801-af2a-bda5dafdd7d9 | Pred: visa_or_mastercard
[68/100] ✅ OK (0.30s) | ID: 567fbf66-87df-4a8a-8e56-d0bde1306282 | Pred: fiat_currency_support
[69/100] ✅ OK (0.30s) | ID: f4ca4e6d-4544-4618-8ad3-a456ff0f0725 | Pred: balance_not_updated_after_bank_transfer
[70/100] ✅ OK (0.30s) | ID: ce618f21-3ee7-436d-9616-a73e0ddc8220 | Pred: balance_not_updated_after_bank_transfer
[71/100] ✅ OK (0.29s) | ID: dcc78a7f-d094-4e36-a0cf-dc87453ab1cb | Pred: cancel_transfer
[72/100] ✅ OK (0.34s) | ID: 4d47d3f8-5953-40b3-8cbc-5f087d1b7d69 | Pred: top_up_by_bank_transfer_charge
[73/100] ✅ OK (0.28s) | ID: b147be35-2030-4460-8c3f-b9a12cf1f187 | Pred: card_not_working
[74/100] ✅ OK (0.30s) | ID: c10e6692-4619-42db-a654-4656759847e8 | Pred: country_support
[75/100] ✅ OK (0.28s) | ID: 05bb2e72-9a4b-4d20-85c1-1664e5ae79ad | Pred: card_not_working
[76/100] ✅ OK (0.29s) | ID: 3b9b80cb-fcb5-4114-b24b-f0c5fe8933c6 | Pred: card_not_working
[77/100] ✅ OK (0.30s) | ID: fa7f0c3d-4913-4409-8bc0-987a3f814952 | Pred: top_up_by_bank_transfer_charge
[78/100] ✅ OK (0.32s) | ID: 40388be1-628c-4f1d-affb-a78fa83f2475 | Pred: lost_or_stolen_card
[79/100] ✅ OK (0.30s) | ID: c0509bd9-aad8-4d23-8a7b-f90e41e8abda | Pred: card_acceptance
[80/100] ✅ OK (0.29s) | ID: 22eea46e-d0bd-46e0-b3d9-9a7ce6a0e4b0 | Pred: cancel_transfer
[81/100] ✅ OK (0.30s) | ID: e24dcd4e-aeab-46d0-b2c5-69e0f18b8812 | Pred: cancel_transfer
[82/100] ✅ OK (0.31s) | ID: 9fb20fd3-4172-48f5-9ae5-2a2d9a318d23 | Pred: balance_not_updated_after_bank_transfer
[83/100] ✅ OK (0.30s) | ID: 12c56985-e9b4-423f-bf0f-eb376398ac78 | Pred: cancel_transfer
[84/100] ✅ OK (0.29s) | ID: 8a079f0b-fb65-4986-89bc-39ca660fbc97 | Pred: card_not_working
[85/100] ✅ OK (0.31s) | ID: 8edebaf0-0a7b-45e3-b727-5ea427e607a4 | Pred: lost_or_stolen_card
[86/100] ✅ OK (0.29s) | ID: dd4c1708-873b-4d8d-b950-823dfaef4554 | Pred: cancel_transfer
[87/100] ✅ OK (0.30s) | ID: 844ebd70-33b8-4d73-afb0-f52449c63edb | Pred: card_acceptance
[88/100] ✅ OK (0.32s) | ID: 419d8157-7416-451b-80cc-e9d68ceb14d4 | Pred: balance_not_updated_after_bank_transfer
[89/100] ✅ OK (0.29s) | ID: 346edb94-900c-41ef-8397-7a3346e41729 | Pred: country_support
[90/100] ✅ OK (0.30s) | ID: d90546b4-10b5-4281-8171-0161860b4e04 | Pred: terminate_account
[91/100] ✅ OK (0.31s) | ID: 2e9f54fa-094c-4bba-978a-d2afec2ea1a0 | Pred: beneficiary_not_allowed
[92/100] ✅ OK (0.32s) | ID: b2c72497-2238-4286-9a09-956e3f3fc17b | Pred: top_up_by_bank_transfer_charge
[93/100] ✅ OK (0.30s) | ID: 253a88c1-20c6-4e4b-988d-53a986c264ce | Pred: lost_or_stolen_card
[94/100] ✅ OK (0.36s) | ID: 5ab79a7c-a0b6-4992-833a-5de5956475b1 | Pred: balance_not_updated_after_bank_transfer
[95/100] ✅ OK (0.30s) | ID: 1e5e4ce1-cd5e-4b1c-b118-405ff4f03c68 | Pred: cancel_transfer
[96/100] ✅ OK (0.29s) | ID: 7993232f-7c41-427b-96c7-fee44dd36924 | Pred: lost_or_stolen_card
[97/100] ✅ OK (0.30s) | ID: e8189f2c-a1a6-41c2-9e6a-6294157b4bf1 | Pred: fiat_currency_support
[98/100] ✅ OK (0.30s) | ID: d8740cfe-7730-42a7-b877-a7b663d7af39 | Pred: card_not_working
[99/100] ✅ OK (0.32s) | ID: 78aec77c-10a5-42fb-8a74-da6db5d9b08f | Pred: card_arrival
[100/100] ✅ OK (0.29s) | ID: 2f134251-4966-4cb8-9729-afeb4da0132e | Pred: balance_not_updated_after_bank_transfer
